Statistical profiling result from isolate-0xa6480c000-47317-v8-47317.log, (9021 ticks, 4225 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     12    0.1%    0.1%  JS: *parserOnHeadersComplete node:_http_common:74:33
     12    0.1%    0.1%  JS: *emitInitScript node:internal/async_hooks:503:24
     12    0.1%    0.1%  JS: *createObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:17:30
     12    0.1%    0.1%  Builtin: SetOrSetIteratorToList
     12    0.1%    0.1%  Builtin: JSBuiltinsConstructStub
     12    0.1%    0.1%  Builtin: AsyncFunctionResolve
     11    0.1%    0.1%  JS: *onwrite node:internal/streams/writable:615:17
     11    0.1%    0.1%  JS: *attachFinishedListener /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:91:33
     11    0.1%    0.1%  JS: *Readable.on node:internal/streams/readable:1127:33
     11    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/Router.js:138:27
     11    0.1%    0.1%  Builtin: StrictEqual_Baseline
     11    0.1%    0.1%  Builtin: KeyedLoadIC
     11    0.1%    0.1%  Builtin: ArrayFrom
     10    0.1%    0.1%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
     10    0.1%    0.1%  JS: *getContainer file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:16:24
     10    0.1%    0.1%  JS: *get path file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:208:13
     10    0.1%    0.1%  JS: *bodyParser /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:63:35
     10    0.1%    0.1%  JS: *ContextHandler.getContextCallback file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextHandler.js:17:45
     10    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
     10    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     10    0.1%    0.1%  Builtin: AsyncFunctionAwaitCaught
      9    0.1%    0.1%  JS: *write_ node:_http_outgoing:943:16
      9    0.1%    0.1%  JS: *removeListener node:events:681:28
      9    0.1%    0.1%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:147:18
      9    0.1%    0.1%  JS: *createObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:174:30
      9    0.1%    0.1%  JS: *Readable.read node:internal/streams/readable:647:35
      9    0.1%    0.1%  JS: *AsyncResource node:async_hooks:168:14
      9    0.1%    0.1%  Builtin: StoreIC_Megamorphic
      9    0.1%    0.1%  Builtin: LoadICTrampoline_Megamorphic
      9    0.1%    0.1%  Builtin: FastNewObject
      8    0.1%    0.1%  JS: *xframe file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/xframe.js:3:33
      8    0.1%    0.1%  JS: *set file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:376:8
      8    0.1%    0.1%  JS: *preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:20:20
      8    0.1%    0.1%  JS: *onFinish node:_http_outgoing:1080:18
      8    0.1%    0.1%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/koa-compose/index.js:35:23
      8    0.1%    0.1%  Builtin: RegExpPrototypeExecSlow
      8    0.1%    0.1%  Builtin: LoadGlobalIC
      8    0.1%    0.1%  Builtin: Call_ReceiverIsAny
      7    0.1%    0.1%  RegExp: ^\s*?<
      7    0.1%    0.1%  JS: *runInAsyncScope node:async_hooks:207:18
      7    0.1%    0.1%  JS: *preDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:24:25
      7    0.1%    0.1%  JS: *onFinish /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:96:21
      7    0.1%    0.1%  JS: *meta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/meta.js:6:31
      7    0.1%    0.1%  JS: *initAsyncResource node:internal/timers:164:27
      7    0.1%    0.1%  JS: *ReadableState node:internal/streams/readable:262:23
      7    0.1%    0.1%  Builtin: StringIndexOf
      7    0.1%    0.1%  Builtin: RegExpReplace
      7    0.1%    0.1%  Builtin: PromiseCapabilityDefaultResolve
      7    0.1%    0.1%  Builtin: JSConstructStubGeneric
      7    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
      6    0.1%    0.1%  JS: *writeHead node:_http_server:351:19
      6    0.1%    0.1%  JS: *set body file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:312:13
      6    0.1%    0.1%  JS: *rangeMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/dist/app/middleware/static.js:10:29
      6    0.1%    0.1%  JS: *nosniff file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/nosniff.js:14:34
      6    0.1%    0.1%  JS: *get node:_http_incoming:109:16
      6    0.1%    0.1%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/request.js:472:8
      6    0.1%    0.1%  JS: *dta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/dta.js:4:24
      6    0.1%    0.1%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:35:23
      6    0.1%    0.1%  JS: *BaseContextClass file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/dist/base_context_class.js:14:16
      6    0.1%    0.1%  Builtin: PromiseResolveThenableJob
      6    0.1%    0.1%  Builtin: ObjectGetPrototypeOf
      6    0.1%    0.1%  Builtin: MapPrototypeDelete
      6    0.1%    0.1%  Builtin: ForInFilter
      6    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      6    0.1%    0.1%  Builtin: ArrayPrototypeValues
      6    0.1%    0.1%  Builtin: ArrayIncludesSmiOrObject
      5    0.1%    0.1%  JS: *set status file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:57:15
      5    0.1%    0.1%  JS: *preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-plugin/dist/lib/AopContextHook.js:35:20
      5    0.1%    0.1%  JS: *onParserExecute node:_http_server:874:25
      5    0.1%    0.1%  JS: *notfound file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/notfound.js:2:35
      5    0.1%    0.1%  JS: *noopen file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/noopen.js:4:33
      5    0.1%    0.1%  JS: *emit node:events:466:44
      5    0.1%    0.1%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
      5    0.1%    0.1%  JS: *OutgoingMessage node:_http_outgoing:106:25
      5    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:40:60
      5    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:41:45
      5    0.1%    0.1%  Builtin: StringEqual
      5    0.1%    0.1%  Builtin: StoreIC
      5    0.1%    0.1%  Builtin: ResumeGeneratorBaseline
      5    0.1%    0.1%  Builtin: LoadICBaseline
      5    0.1%    0.1%  Builtin: KeyedStoreIC
      4    0.0%    0.0%  JS: *unenroll node:timers:76:18
