Statistical profiling result from isolate-0xb6280c000-47319-v8-47319.log, (9031 ticks, 4182 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     14    0.2%    0.2%  JS: *dispatch file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/Router.js:122:26
     14    0.2%    0.2%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
     14    0.2%    0.2%  Builtin: PromiseFulfillReactionJob
     14    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     13    0.1%    0.1%  Builtin: WeakMapLookupHashIndex
     13    0.1%    0.1%  Builtin: KeyedLoadIC_PolymorphicName
     12    0.1%    0.1%  JS: *noopen file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/noopen.js:4:33
     12    0.1%    0.1%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:147:18
     12    0.1%    0.1%  JS: *createObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:17:30
     12    0.1%    0.1%  JS: *attachFinishedListener /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:91:33
     12    0.1%    0.1%  Builtin: JSConstructStubGeneric
     12    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
     12    0.1%    0.1%  Builtin: CompileLazy
     12    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     12    0.1%    0.1%  Builtin: CallBoundFunction
     11    0.1%    0.1%  JS: *parserOnHeadersComplete node:_http_common:74:33
     11    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
     10    0.1%    0.1%  JS: *get node:internal/bootstrap/node:100:8
     10    0.1%    0.1%  JS: *BaseContextClass file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/dist/base_context_class.js:14:16
     10    0.1%    0.1%  Builtin: RegExpReplace
