Statistical profiling result from isolate-0xc7480c000-47316-v8-47316.log, (9008 ticks, 2069 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     15    0.2%    0.2%  JS: *createObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:17:30
     15    0.2%    0.2%  JS: *bodyParser /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:63:35
     15    0.2%    0.2%  Builtin: CallApiCallbackOptimizedNoProfiling
     14    0.2%    0.2%  JS: *parserOnIncoming node:_http_server:1073:26
     14    0.2%    0.2%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/koa-compose/index.js:35:23
     14    0.2%    0.2%  Builtin: CompileLazy
     14    0.2%    0.2%  Builtin: AsyncFunctionResolve
     13    0.1%    0.1%  JS: *parserOnHeadersComplete node:_http_common:74:33
     13    0.1%    0.1%  JS: *attachFinishedListener /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:91:33
     13    0.1%    0.1%  Builtin: MapConstructor
     13    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     12    0.1%    0.1%  JS: *processTicksAndRejections node:internal/process/task_queues:72:35
     12    0.1%    0.1%  JS: *nosniff file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/nosniff.js:14:34
     12    0.1%    0.1%  JS: *Readable.on node:internal/streams/readable:1127:33
     12    0.1%    0.1%  Builtin: KeyedLoadIC
     12    0.1%    0.1%  Builtin: JSBuiltinsConstructStub
     12    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     11    0.1%    0.1%  JS: *get path file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:208:13
     11    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
     11    0.1%    0.1%  Builtin: ArrayFrom
     10    0.1%    0.1%  JS: *set file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:376:8
     10    0.1%    0.1%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:36:21
     10    0.1%    0.1%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-runtime/dist/EggObjectAopHook.js:32:21
     10    0.1%    0.1%  JS: *nextTick node:internal/process/task_queues:113:18
     10    0.1%    0.1%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
     10    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa-static-cache/dist/index.js:82:12
     10    0.1%    0.1%  Builtin: ToString
     10    0.1%    0.1%  Builtin: SetOrSetIteratorToList
     10    0.1%    0.1%  Builtin: EnqueueMicrotask
      9    0.1%    0.1%  JS: *xssProtection file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/xssProtection.js:3:40
      9    0.1%    0.1%  JS: *notfound file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/notfound.js:2:35
      9    0.1%    0.1%  JS: *noopen file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/noopen.js:4:33
